Name,Street,PLZ,Ort,Email,www,Telefon,Fax
Creditreform Aschaffenburg Schurk KG,Magnolienweg 31,63741,Aschaffenburg,Info@Aschaffenburg.Creditreform.de,www.creditreform-aschaffenburg.de,+49 6021 3401-21,+49 6021 34001-20
Creditreform Augsburg Frhschulz & Wipperling KG,Beethovenstrae 4,86150,Augsburg,Info@Augsburg.Creditreform.de,www.creditreform.de,+49 821 329060,+49 821 3290639
Creditreform Bad Homburg/Limburg Fritscher & Schmitt KG,Horexstr. 3,61352,Bad Homburg,Info@Bad-Homburg.Creditreform.de,www.bad-homburg.creditreform.de,+49 6172 986028,+49 6172 986030
Creditreform Bad Homburg/Limburg Fritscher & Schmitt KG,Pariser Str. 2,65552,Limburg,Info@Limburg.Creditreform.de,www.creditreform-limburg.de,+49 6431 9607-20,+49 6431 960730
Creditreform Bad Kreuznach Langenfeld KG,Planiger Strae 34 a,55543,Bad Kreuznach,Info@Bad-Kreuznach.Creditreform.de,www.creditreform.de,+49 671 88789-10,+49 671 8878988
Creditreform Bamberg-Coburg-Gera Titze KG,Gagarinstrae 24,7545,Gera,Info@Gera.Creditreform.de,www.creditreform.de,+49 365 437130,+49 365 4371311
Creditreform Bayreuth Ganzmller Groher & Kollegen KG,Wittelsbacherring 42,95444,Bayreuth,Info@Bayreuth.Creditreform.de,www.creditreform.de,+49 921 75930-97,+49 921 7593040
Creditreform Berlin Brandenburg Wolfram KG,Karl-Heinrich-Ulrichs-Str. 1,10787,Berlin,inkasso@Berlin.Creditreform.de,www.creditreform-bb.de,+49 30 21294-0,+49 30 21294301
Creditreform Bielefeld Riegel & Unger KG,Sunderweg 3,33649,Bielefeld,Info@Bielefeld.Creditreform.de,www.creditreform-bielefeld.de,+49 521 932400,+49 521 93240222
Creditreform Bocholt Isert KG,Isselburger Strae 64,46395,Bocholt,Info@Bocholt.Creditreform.de,www.creditreform.de,+49 2871 275320,+49 2871 275372
Creditreform Bochum Bhme KG,Lise-Meitner-Allee 26,44801,Bochum,Info@Bochum.Creditreform.de,www.bochum.creditreform.de,+49 234 9333-170,+49 234 9333-290
Creditreform Bonn Rossen KG,Graurheindorfer Strae 92,53117,Bonn,Info@Bonn.Creditreform.de,www.bonn.creditreform.de,+49 228 26794-0,+49 228 26794-38
Creditreform Brandenburg/Havel Wolfram KG,Silostr. 8-10,14770,Brandenburg,Info@Brandenburg.Creditreform.de,www.creditreform.de,+49 3381 7686-30,+49 3381 768651
Creditreform Brandenburg/Havel Wolfram KG,Sophienstrae 26,15230,Frankfurt (Oder),Info@Frankfurt-Oder.Creditreform.de,www.cr-ffo.de,+49 335 68309-30,+49 335 6830951
Creditreform Braunschweig Harland KG,Saarbrckener Str. 253 a,38116,Braunschweig,info@braunschweig.creditreform.de,www.creditreform-braunschweig.de,+49 531 59090-0,+49 531 59090-29
Creditreform Bremen Dahlke KG,Contrescarpe 17,28203,Bremen,Info@Bremen.Creditreform.de,www.creditreform.de,+49 421 3290241,+49 421 3290258
Creditreform Bremerhaven Dr. Dahlke KG,Grashoffstr. 7,27570,Bremerhaven,Info@Bremerhaven.Creditreform.de,www.creditreform.de,+49 471 954930,+49 471 9549355
Creditreform Cottbus/Grlitz Philipp KG,Strae der Bodenreform 5,3055,Cottbus,Info@Cottbus.Creditreform.de,www.creditreform.de,+49 355 87701-0,+49 355 8627117
Creditreform Darmstadt Skoruppa KG,Am Kavalleriesand 47,64295,Darmstadt,Info@Darmstadt.Creditreform.de,www.creditreform.de,+49 6151 87500,+49 6151 875010
Creditreform Dortmund/Witten Scharf KG,Phoenixseestr. 4,44263,Dortmund,info@dortmund.creditreform.de,www.creditreform.de,+49 231 54945,+49 231 5494777
Creditreform Dresden Aumller KG,Augsburger Strae 4,1309,Dresden,info@dresden.creditreform.de,www.dresden.creditreform.de,+49 351 4444-400,+49 351 4444-58-400
Creditreform Duisburg Wolfram KG,Kuhlenwall 14,47051,Duisburg,info@duisburg.creditreform.de,www.creditreform-duisburg.de,+49 203 92887-10,+49 203 9288754
"Creditreform Dsseldorf/Neuss Roumen, Waterkamp & Coll. KG",Heesenstr. 65,40549,Dsseldorf,Info@Duesseldorf.Creditreform.de,www.duesseldorf.creditreform.de,+49 211 1671-0,+49 211 1671108
"Creditreform Dsseldorf/Neuss Roumen, Waterkamp & Coll. KG",Hellersbergstrae 14,41460,Neuss,Info@Neuss.Creditreform.de,www.creditreform.de,+49 2131 220333,+49 2131 220310
Creditreform Emmerich Wolters KG,s-Heerenberger Strae 172,46446,Emmerich am Rhein,Info@Emmerich.Creditreform.de,www.emmerich.creditreform.de,+49 2822 5006,+49 2822 6503
Creditreform Erfurt-Gotha Hain KG,Liebetraustrae 4,99867,Gotha,Info@Gotha.Creditreform.de,www.creditreform.de,+49 3621 7272-20,+49 3621 727273
Creditreform Essen Stenmans & Waterkamp KG,Hohenzollernstr. 40,45128,Essen,Info@Essen.Creditreform.de,www.creditreform.de,+49 201 87226-0,+49 201 8722629
Creditreform Flensburg Hanisch KG,Lise-Meitner-Str. 1,24941,Flensburg,Info@Flensburg.Creditreform.de,www.creditreform-flensburg.de,+49 461 50304-0,+49 461 5030441
Creditreform Frankfurt Emil Vogt KG,Brsenplatz 7-11,60313,Frankfurt am Main,Info@Frankfurt-Main.Creditreform.de,www.frankfurt-main.creditreform.de,+49 69 29991-0,+49 69 2923-33
Creditreform Freiburg Zimmermann KG,Jacob-Burckhardt-Strae 17,79098,Freiburg,Info@Freiburg.Creditreform.de,www.freiburg.creditreform.de,+49 761 2070030,+49 761 2070039
Creditreform Fulda Busold KG,Werner-von-Siemens-Str. 12-14,36041,Fulda,Info@Fulda.Creditreform.de,www.fulda.creditreform.de,+49 661 25028-0,+49 661 25028-155
Creditreform Geldern Raab KG,Westwall 65,47608,Geldern,Info@Geldern.Creditreform.de,www.creditreform.de,+49 2831 1043,+49 2831 5604
Creditreform Gelsenkirchen Sprenger & Hain KG,Kampstrae 26,45899,Gelsenkirchen,Info@Gelsenkirchen.Creditreform.de,www.creditreform-gelsenkirchen.de,+49 209 95894-0,+49 209 9589470
Creditreform Gieen Hain KG,Ludwig-Richter-Strae 11,35396,Gieen,inkasso@giessen.creditreform.de,www.creditreform-giessen.de,+49 641 952620,+49 641 9526262
Creditreform Gppingen Engelhardt KG,Schillerstrae 21,73054,Eislingen,Info@Goeppingen.Creditreform.de,www.creditreform.de,+49 7161 1568140,+49 7161 23942
Creditreform Grlitz Philipp KG,Wiesenweg 5,2827,Grlitz,Info@Goerlitz.Creditreform.de,www.creditreform.de,+49 3581 7041-0,+49 3581 407428
Creditreform Goslar Styra KG,Claustorwall 1,38640,Goslar,Info@Goslar.Creditreform.de,www.creditreform-goslar.de,+49 5321 3428-0,+49 5321 342822
Creditreform Gttingen Bruns KG,Willi-Eichler-Str.11,37079,Gttingen,geschaeftsfuehrer@goettingen.creditreform.de,www.goettingen.creditreform.de,+49 551 49902-0,+49 551 4990250
Creditreform Gummersbach v. Padberg KG,Kaiserstr. 30,51643,Gummersbach,Info@Gummersbach.Creditreform.de,www.creditreform.de,+49 2261 2905-0,+49 2261 290555
Creditreform Gtersloh Schott KG,Moltkestr. 3-7,33330,Gtersloh,inkasso@guetersloh.creditreform.de,www.creditreform-guetersloh.de,+49 5241 2207-100,+49 5241 2207-111
Creditreform Hagen Berkey & Riegel KG,Riemerschmidstr. 1-3,58093,Hagen,Info@Hagen.Creditreform.de,www.hagen.creditreform.de,+49 2331 7828-0,+49 2331 7828-90
Creditreform Halle/Dessau Balles Noack GmbH & Co. KG,Erdmannsdorffstrae 8,6844,Dessau-Rolau,Info@Dessau.Creditreform.de,www.dessau.creditreform.de,+49 340 266170,+49 340 2661739
Creditreform Halle/Dessau Balles Noack GmbH & Co. KG,Ludwig-Wucherer-Str. 79,6108,Halle/Saale,Info@Halle.Creditreform.de,www.halle.creditreform.de,+49 345 232500,+49 345 2325019
Creditreform Hamburg von der Decken & Wall KG,Wandalenweg 8-10,20097,Hamburg,Info@Hamburg.Creditreform.de,www.creditreform.de,+49 40 23604-0,+49 40 23604299
Creditreform Hameln Bolte KG,Ostertorwall 38,31785,Hameln,Info@Hameln.Creditreform.de,www.creditreform-hameln.de,+49 5151 557900,+49 5151 14449
Creditreform Hamm Samoray KG,Kranstrae 15,59071,Hamm-Uentrop,Info@Hamm.Creditreform.de,www.creditreform.de,+49 2388 319300,+49 2388 3193020
Creditreform Hanau Lukas KG,Rckinger Str. 12,63526,Erlensee,Info@Hanau.Creditreform.de,www.creditreform.de,+49 6183 52042-00,+49 6183 52042-20
Creditreform Hannover-Celle Bissel KG,Hans-Bckler-Allee 26,30173,Hannover,info@hannover.creditreform.de,www.hannover.creditreform.de,+49 511 5408-0,+49 511 5408-215
Creditreform Heidelberg Dangmann & Polyak KG,Kurfrstenanlage 34,69115,Heidelberg,Inkasso@heidelberg.creditreform.de,www.creditreform.de,+49 6221 73890,+49 6221 738915
Creditreform Heilbronn Zimmermann KG,Ferdinand-Braun-Strae 3,74074,Heilbronn,Info@Heilbronn.Creditreform.de,www.creditreform-heilbronn.de,+49 7131 9421-20,+49 7131 9421-21
Creditreform Herford & Minden Dorff GmbH & Co. KG,Krellstr. 68,32584,Lhne,Info@herford.Creditreform.de,www.creditreform-herford.de,+49 5732 9025-0,+49 5732 9025-190
Creditreform Hildesheim Kruse KG,Sedanstrae 13,31134,Hildesheim,Info@Hildesheim.Creditreform.de,www.creditreform.de,+49 5121 15030,+49 5121 150311
Creditreform Hof Lippoldt & Ritter KG,Thomasstrae 32,95028,Hof,inkasso@hof.creditreform.de,www.creditreform.de,+49 9281 725344,+49 9281 725372
Creditreform Ingolstadt Philipp KG,Nrnberger Str. 34,85055,Ingolstadt,Info@Ingolstadt.Creditreform.de,www.creditreform.de,+49 841 96817-0,+49 841 69321
Creditreform Iserlohn Wick KG,Unnaer Strae 24,58636,Iserlohn,Info@Iserlohn.Creditreform.de,,+49 2371 4347 51,+49 2371 43473 50
Creditreform Kaiserslautern Langenfeld KG,Luxemburger Strae 7,67657,Kaiserslautern,info@kaiserslautern.creditreform.de,www.creditreform.de,+49 631 36623-0,+49 631 36623-10
Creditreform Karlsruhe Bliss & Hagemann GmbH & Co. KG,Kriegsstr. 236-240,76135,Karlsruhe,Info@Karlsruhe.Creditreform.de,www.creditreform.de,+49 721 95553-0,+49 721 95553-95
Creditreform Kassel Dr. Schlegel KG,Hedwigstrae 16,34117,Kassel,Info@Kassel.Creditreform.de,www.creditreform-kassel.de,+49 561 7845630,+49 561 7845678
Creditreform Kempten/Allgu Winterstein KG,Frstenstrae 1,87439,Kempten,Info@Kempten.Creditreform.de,www.kempten.creditreform.de,+49 831 5219416,+49 831 5219433
Creditreform Kiel Isert KG,Sophienblatt 100,24114,Kiel,Info@Kiel.Creditreform.de,www.creditreform.de,+49 431 9798060,+49 431 9798024
Creditreform Koblenz Dr. Rdl & Brodmerkel KG,Rizzastrae 49,56068,Koblenz,Info@Koblenz.Creditreform.de,www.koblenz.creditreform.de,+49 261 9118150,+49 261 9118110
Creditreform Kln von Padberg KG,Gustav-Heinemann-Ufer 68,50968,Kln,Info@Koeln.Creditreform.de,www.creditreform.de,+49 221 376608,+49 221 3766061
Creditreform Konstanz Mller & Schott GmbH & Co KG,Geschftsstelle Villingen,78048,Villingen-Schwenningen,Info@Villingen.Creditreform.de,www.creditreform.de,+49 7721 94819,+49 7721 948151
Creditreform Konstanz Mller & Schott GmbH & Co. KG,Mainaustrae 48,78464,Konstanz,Info@Konstanz.Creditreform.de,www.creditreform-konstanz.de,+49 7531 895030,+49 7531 895026
Creditreform Krefeld Lienau KG,Haus Leyental - Leyentalstrae 1,47799,Krefeld,Info@Krefeld.Creditreform.de,www.creditreform.de,+49 2151 648222,+49 2151 648227
Creditreform Leer Bolte KG,Hauptstrae 16,26789,Leer,Info@Leer.Creditreform.de,www.creditreform.de,+49 491 9798240,+49 491 9798250
Creditreform Leipzig Niedenzu KG,Hahnekamm 1,4103,Leipzig,Info@Leipzig.Creditreform.de,www.creditreform-leipzig.de,+49 341 9944-180,+49 341 9944145
Creditreform Lbeck von der Decken KG,Zeistrae 6,23560,Lbeck,Info@Luebeck.Creditreform.de,www.luebeck.creditreform.de,+49 451 58055-40,+49 451 5805544
Creditreform Ludwigshafen Kndler & Skoruppa KG,Neuhfer Strae 6-8,67065,Ludwigshafen,info@Ludwigshafen.Creditreform.de,www.ludwigshafen.creditreform.de,+49 621 538070,+49 621 5380718
Creditreform Magdeburg Harland KG,Groe Diesdorfer Strae 52,39110,Magdeburg,Info@Magdeburg.Creditreform.de,www.creditreform.de,+49 391 73977-0,+49 391 7397749
Creditreform Mainz Albert & Naujoks KG,Bonifaziusplatz 1 A,55118,Mainz,Info@Mainz.Creditreform.de,www.creditreform.de,+49 6131 96044-0,+49 6131 9604438
Creditreform Mannheim Dangmann KG,Augustaanlage 18,68165,Mannheim,Info@Mannheim.Creditreform.de,www.creditreform.de,+49 621 1800130,+49 621 1800133
Creditreform Mecklenburg-Vorpommern von der Decken KG,Schelfstrae 35,19055,Schwerin,Info@Schwerin.Creditreform.de,www.creditreform.de,+49 385 731360,+49 385 7313617
Creditreform Mecklenburg-Vorpommern von der Decken KG,Gebrder-Boll-Strae 1 A,17033,Neubrandenburg,Info@Neubrandenburg.Creditreform.de,www.creditreform.de,+49 395 5587400,+49 395 5587444
Creditreform Mecklenburg-Vorpommern von der Decken KG,Ernst-Barlach-Strae 12,18055,Rostock,info@mv.creditreform.de,www.creditreform-mv.de,+49 381 492080,+49 381 4920817
Creditreform Mnchengladbach Dorenbeck KG,Krefelder Strae 691,41066,Mnchengladbach,Info@Moenchengladbach.Creditreform.de,www.creditreform-moenchengladbach.de,+49 2161 680120,+49 2161 680130
Creditreform Mlheim Wolfram KG,Kuhlenwall 14,47051,Duisburg,Info@Muelheim.Creditreform.de,www.creditreform.de,+49 203 92887-0,+49 203 92887-50
"Creditreform Mnchen Ganzmller,Groher & Kollegen KG",Machtlfingerstr. 13,81379,Mnchen,inkasso@muenchen.creditreform.de,www.muenchen.creditreform.de,+49 89 189293-0,+49 89 189293-905
Creditreform Mnster Riegel & Riegel KG,Scharnhorststrae 46,48151,Mnster,info@muenster.creditreform.de,www.creditreform-muenster.de,+49 251 53530,+49 251 5353288
